taxonID,resourceID,relatedResourceID,relationshipOfResource,relationshipAccordingTo
uredinales-belgium-checklist:taxon:260455576301d23f512a9650f9936ef9,uredinales-belgium-checklist:taxon:d1a10d22fbadf1d2edba815dd0e0e98e,uredinales-belgium-checklist:taxon:260455576301d23f512a9650f9936ef9,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 11"
uredinales-belgium-checklist:taxon:8fe069e7f3228441fb405002b038aaf1,uredinales-belgium-checklist:taxon:cbf7427c90512ca36cbb2b484d678ffc,uredinales-belgium-checklist:taxon:8fe069e7f3228441fb405002b038aaf1,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 11"
uredinales-belgium-checklist:taxon:cf04e2617aba99a239404b150dd8f933,uredinales-belgium-checklist:taxon:eb8274c1dc18a90b65cf5e813a6faa5c,uredinales-belgium-checklist:taxon:cf04e2617aba99a239404b150dd8f933,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 11"
uredinales-belgium-checklist:taxon:8f40d1f544b697192379f3573ae269d8,uredinales-belgium-checklist:taxon:b1ff1c8b1a8af95288d93b24fa6e0342,uredinales-belgium-checklist:taxon:8f40d1f544b697192379f3573ae269d8,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12"
uredinales-belgium-checklist:taxon:906765b70ce7ae6a8830ea9f7ea352f4,uredinales-belgium-checklist:taxon:cbf7427c90512ca36cbb2b484d678ffc,uredinales-belgium-checklist:taxon:906765b70ce7ae6a8830ea9f7ea352f4,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12"
uredinales-belgium-checklist:taxon:8e55e76ae542346be4dfe62032aef53b,uredinales-belgium-checklist:taxon:5e765c85e71f27cc01872adda3824b83,uredinales-belgium-checklist:taxon:8e55e76ae542346be4dfe62032aef53b,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12"
uredinales-belgium-checklist:taxon:587ab4ddc9826777f88853f016f295d8,uredinales-belgium-checklist:taxon:1a0f76e724a55369500093feafa58c0d,uredinales-belgium-checklist:taxon:587ab4ddc9826777f88853f016f295d8,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12"
uredinales-belgium-checklist:taxon:aafacca828222e60fccc696da7ea3a36,uredinales-belgium-checklist:taxon:3cd4f3e4b74481d93f48ac6d31e69dde,uredinales-belgium-checklist:taxon:aafacca828222e60fccc696da7ea3a36,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12"
uredinales-belgium-checklist:taxon:90d6fe85dea087e7498c225b84f9b6f3,uredinales-belgium-checklist:taxon:cbf7427c90512ca36cbb2b484d678ffc,uredinales-belgium-checklist:taxon:90d6fe85dea087e7498c225b84f9b6f3,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 13"
uredinales-belgium-checklist:taxon:0dc0649e0c025283a048dd3f5bd87ad7,uredinales-belgium-checklist:taxon:cbf7427c90512ca36cbb2b484d678ffc,uredinales-belgium-checklist:taxon:0dc0649e0c025283a048dd3f5bd87ad7,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 13"
