scientificName	catalogNumber	part	page	from	to	eventDate	taxonRank	family	associatedTaxa	occurrenceStatus	Column
Hyalopsora polypodii (Dietel) Magnus	1	1	11	VII.1878	VIII.1880	1878-07/1880-08	species	Pucciniastraceae  	parasite of: Cystopteris fragilis	present	
Melampsorella caryophyllacearum J. Schröt	2	1	11	V.1888		1888-05	species	Pucciniastraceae  	parasite of: Abies alba| parasite of: Cerastium arvense| parasite of: Holosteum umbellatum| parasite of: Stellaria holostea| parasite of: Stellaria nemorum| parasite of: Moehringia trinervia	present	
Melampsorella symphyti Bubák	3	1	11	04.X.1963	15.V.2006	1963-10-04/2006-05-15	species	Pucciniastraceae  	parasite of: Symphytum officinale| parasite of: parasite of: Abies alba	present	
Melampsoridium betulinum (Fr.) Kleb.	4	1	12	13.X.2000		2000-10-13	species	Pucciniastraceae  	parasite of: Larix decidua| parasite of: Larix kaempferi| parasite of: Betula pendula| parasite of: Betula pubescens	present	alien
Milesina blechni (Syd. & P. Syd.) Syd.	5	1	12				species	Pucciniastraceae  	parasite of: Abies alba| parasite of: Blechnum spicant	present	
Naohidemyces vaccinii (G. Winter) S. Sato, Katsuya & Y. Hirats.	6	1	12	IX.1890	13.VIII.1902	1890-09/1902-08-13	species	Pucciniastraceae  	parasite of: Vaccinium myrtillus| parasite of: Vaccinium uliginosum| parasite of: Vaccinium oxycoccos| parasite of: Vaccinium vitis-idaea	present	
Pucciniastrum agrimoniae (Dietel) Tranz.	7	1	12	IX.1889		1889-09	species	Pucciniastraceae  	parasite of: Agrimonia eupatoria	present	
Pucciniastrum areolatum (Fr.) G.H. Otth	8	1	12	IX.1889	10.IV.1917	1889-09/1917-04-10	species	Pucciniastraceae  	parasite of: Picea abies| parasite of: Prunus padus	present	
Pucciniastrum circaeae (G. Winter) Speg. ex De Toni	9	1	13	17.VI.1980	16.VIII.2003	1980-06-17/2003-08-16	species	Pucciniastraceae  	parasite of: Abies alba| parasite of: Circaea lutetiana	present	
Pucciniastrum epilobii G.H. Otth	10	1	13	18.VIII.1878	10.X.1999	1878-08-18/1999-10-10	species	Pucciniastraceae  	parasite of: Abies alba| parasite of: Epilobium angustifolium| parasite of: Epilobium hirsutum| parasite of: Epilobium montanum	present	
Pucciniastrum guttatum (J. Schröt.) Hyl., Jørst. & Nannf.	11	1	13	07.IX.1901		1901-09-07	species	Pucciniastraceae  	parasite of: Galium mollugo| parasite of: Galium odoratum| parasite of: Sherardia arvensis	present	
Pucciniastrum pyrolae Arthur	12	1	13	VII.1879		1879-07	species	Pucciniastraceae  	parasite of: Pyrola minor| parasite of: Pyrola rotundifolia	present	
Uredinopsis filicina Magnus	13	1	14				species	Pucciniastraceae  	parasite of: Phegopteris connectilis	present	
Chrysomyxa abietis Unger	14	1	14	VIII.1901		1901-08	species	Coleosporiaceae	parasite of: Picea abies	present	
Chrysomyxa pyrolata G. Winter	15	1	14	14.V.1979		1979-05-14	species	Coleosporiaceae	parasite of: Picea abies| parasite of: Pyrola rotundifolia	present	
