scientificName	catalogNumber	part	page	from	to	family	hostPlant	occurrenceStatus	establishmentMeans
Hyalopsora polypodii (Dietel) Magnus	1	1	11	VII.1878	VIII.1880	Pucciniastraceae  	 Cystopteris fragilis	present	
Melampsorella caryophyllacearum J. Schröt	2	1	11	V.1888		Pucciniastraceae  	 Abies alba,  Cerastium arvense,  Holosteum umbellatum,  Stellaria holostea,  Stellaria nemorum,  Moehringia trinervia	present	
Melampsorella symphyti Bubák	3	1	11	04.X.1963	15.V.2006	Pucciniastraceae  	 Symphytum officinale,   Abies alba	present	
Melampsoridium betulinum (Fr.) Kleb.	4	1	12	13.X.2000		Pucciniastraceae  	 Larix decidua,  Larix kaempferi,  Betula pendula,  Betula pubescens	present	alien
Milesina blechni (Syd. & P. Syd.) Syd.	5	1	12			Pucciniastraceae  	 Abies alba,  Blechnum spicant	present	
Naohidemyces vaccinii (G. Winter) S. Sato, Katsuya & Y. Hirats.	6	1	12	IX.1890	13.VIII.1902	Pucciniastraceae  	 Vaccinium myrtillus,  Vaccinium uliginosum,  Vaccinium oxycoccos,  Vaccinium vitis-idaea	present	
Pucciniastrum agrimoniae (Dietel) Tranz.	7	1	12	IX.1889		Pucciniastraceae  	 Agrimonia eupatoria	present	
Pucciniastrum areolatum (Fr.) G.H. Otth	8	1	12	IX.1889	10.IV.1917	Pucciniastraceae  	 Picea abies,  Prunus padus	present	
Pucciniastrum circaeae (G. Winter) Speg. ex De Toni	9	1	13	17.VI.1980	16.VIII.2003	Pucciniastraceae  	 Abies alba,  Circaea lutetiana	present	
Pucciniastrum epilobii G.H. Otth	10	1	13	18.VIII.1878	10.X.1999	Pucciniastraceae  	 Abies alba,  Epilobium angustifolium,  Epilobium hirsutum,  Epilobium montanum	present	
Pucciniastrum guttatum (J. Schröt.) Hyl., Jørst. & Nannf.	11	1	13	07.IX.1901		Pucciniastraceae  	 Galium mollugo,  Galium odoratum,  Sherardia arvensis	present	
Pucciniastrum pyrolae Arthur	12	1	13	VII.1879		Pucciniastraceae  	 Pyrola minor,  Pyrola rotundifolia	present	
Uredinopsis filicina Magnus	13	1	14			Pucciniastraceae  	 Phegopteris connectilis	present	
Chrysomyxa abietis Unger	14	1	14	VIII.1901		Coleosporiaceae	 Picea abies	present	
Chrysomyxa pyrolata G. Winter	15	1	14	14.V.1979		Coleosporiaceae	 Picea abies,  Pyrola rotundifolia	present	
Coleosporium tussilaginis (Pers.: Pers.) Lév. ex Tul.	16	1	14	02.VII.1920	25.IX.2005	Coleosporiaceae	 Pinus sylvestris,  Pinus nigra,  Anemone pulsatilla,  Calendula officinalis,  Campanula latifolia,  Campanula rapunculoides,  Campanula rapunculus,  Campanula rotundifolia,  Campanula trachelium,  Euphrasia stricta,  Melampyrum arvense,  Melampyrum pratense,  Petasites hybridus,  Phyteuma spicatum,  Rhinanthus alectorolophus,  Rhinanthus minor,  Senecio ovatus,  Senecio sylvaticus,  Senecio viscosus,  Senecio vulgaris,  Sonchus arvensis,  Sonchus asper,  Sonchus oleraceus,  Tropaeolum peregrinum,  Tussilago farfara	present	
Cronartium flaccidum (Alb. & Schwein.) G. Winter	17	1	15	15.VIII.1876	05.VI.1929	Cronartiaceae	 Pinus pinaster,  Pinus sylvestris,  Paeonia officinalis,  Vincetoxicum hirundinaria 	present	
Cronartium quercuum Miyabe ex Shirai  s.l.	18	1	15			Cronartiaceae	 Pinus sylvestris,  Quercus spp.	present	
Cronartium ribicola J.C. Fischer	19	1	16	1920	31.VIII.2006	Melampsoraceae	 Pinus strobus,  Ribes nigrum,  Ribes rubrum,  Ribes uva-crispa	present	
Melampsora allii-fragilis Kleb.	20	1	16	V.1902		Melampsoraceae	 Allium ursinum,  Salix fragilis,  Salix pentandra	present	
Melampsora allii-populina Kleb.	21	1	16			Melampsoraceae	 Allium ursinum,  Arum maculatum,  Populus nigra,  Populus trichocarpa	doubtful	
Melampsora amygdalinae Kleb.	22	1	16	30.VII.1997	24.VI.1997	Melampsoraceae	 Salix triandra	present	
Melampsora capraearum Thüm.	23	1	16	29.VIII.1901	06.XI.2005	Melampsoraceae	 Salix aurita,  Salix caprea,  Salix cinerea,  Salix x holosericea,  Salix x multinervis,  Salix x reichardtii,  Salix viminalis 	present	native
Melampsora epitea Thüm.	24	1	17	IX.1901	26.X.2000	Melampsoraceae	 Abies,  Euonymus,  Larix spp,  Orchidaceae,  Ribes,  Saxifraga,  Salix aurita,  Salix caprea,  Salix cinerea,  Salix x hippophaefolia,  Salix x holosericea,  Salix x multinervis,  Salix purpurea,  Salix x reichardtii,  Salix repens,  Salix viminalis	present	
